spelling
KBPC
KCOH
KGLK
KGTN-LP
KHBW
KHDY-FM
KKHA
KLBJ-FM
KMAD-FM
KNRX
KONE_(FM)
KOTY
KSQX
KSST
KTAL-FM
KXGL
KYQX
KZAM_(FM)
KLGL
KTMP
WCFR
WEVT-LP
WOTX
WWOD
WOLD-FM
WUDS-LP
WWUZ
WXVA
WZFM
WZGN
